scenario_family,scenario,baseline_scenario,unit_type,iter,coverage_estimator,mean,p10,median,p90
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,35,coverage_chao,0.8239282504181411,0.6000175073859284,0.8895864661654136,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,35,coverage_turing,0.7996000402069952,0.5269230769230769,0.8708333333333333,0.9885641924800311
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,35,coverage_zhanghuang,0.8244787122985042,0.6026515151515152,0.8895470919801247,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,36,coverage_chao,0.836745676824355,0.6336348684210527,0.9073934837092732,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,36,coverage_turing,0.8106564657485837,0.6,0.8956442831215972,0.9890877809502892
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,36,coverage_zhanghuang,0.8380051349314842,0.6342301065162907,0.9112135542880453,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,37,coverage_chao,0.8398481708968658,0.6336348684210527,0.9138528138528139,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,37,coverage_turing,0.8134078103686716,0.6,0.8973684210526316,0.9772413793103449
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,37,coverage_zhanghuang,0.843302186045039,0.6342301065162907,0.9234357925658798,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,38,coverage_chao,0.836670187230118,0.6800925925925927,0.9013888888888889,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,38,coverage_turing,0.8088166305611818,0.6,0.8775,0.9796101949025487
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,38,coverage_zhanghuang,0.8378738890152747,0.6806878306878308,0.9040204678362573,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,39,coverage_chao,0.8372978230557504,0.6238157894736842,0.9073934837092732,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,39,coverage_turing,0.8110291194329301,0.5700000000000001,0.8918128654970761,0.9830397301349325
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,39,coverage_zhanghuang,0.8395452736129224,0.6263888888888889,0.9135338345864661,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,40,coverage_chao,0.8315336887542787,0.6336348684210527,0.8959073204261656,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,40,coverage_turing,0.8047585248625504,0.6,0.8708333333333333,0.9772413793103449
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,40,coverage_zhanghuang,0.8331451948015498,0.6342301065162907,0.8959073204261656,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,41,coverage_chao,0.8261957455325004,0.625,0.8902347652347653,0.9907914027176752
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,41,coverage_turing,0.8011986670027232,0.6,0.8685344827586207,0.9806159420289855
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,41,coverage_zhanghuang,0.8278679675656515,0.6263888888888889,0.8898673066064371,0.9940649368492279
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,42,coverage_chao,0.8244931455476081,0.625,0.8869123118552342,0.9961330822347771
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,42,coverage_turing,0.7998166113146377,0.5700000000000001,0.8596059113300493,0.9819683908045977
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,42,coverage_zhanghuang,0.8255652442908163,0.6263888888888889,0.8872114366473502,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,43,coverage_chao,0.8211232220292376,0.5681747176159577,0.8964285714285715,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,43,coverage_turing,0.7972623216394181,0.5,0.8804761904761904,0.9830397301349325
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,43,coverage_zhanghuang,0.8230970279389744,0.5681747176159577,0.898152709359606,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,44,coverage_chao,0.8315781465159825,0.625,0.8964285714285715,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,44,coverage_turing,0.8073500257443981,0.5700000000000001,0.88,0.9803319209039547
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,44,coverage_zhanghuang,0.8330335941933361,0.6263888888888889,0.8978174603174603,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,45,coverage_chao,0.8334029042535088,0.6336348684210527,0.9026315789473685,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,45,coverage_turing,0.8083088701522075,0.6,0.8819444444444444,0.9886931534232883
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,45,coverage_zhanghuang,0.8354114525624283,0.6342301065162907,0.9057744360902256,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,46,coverage_chao,0.831492418182615,0.6238157894736842,0.8964285714285715,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,46,coverage_turing,0.8048027925095891,0.5700000000000001,0.8571428571428572,0.9868879472693033
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,46,coverage_zhanghuang,0.8318508476991583,0.6263888888888889,0.8970555306762203,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,47,coverage_chao,0.8366350327811458,0.6721153846153847,0.9026315789473685,0.9933334009493286
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,47,coverage_turing,0.8132420957170278,0.6,0.8918128654970761,0.9868879472693033
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,47,coverage_zhanghuang,0.838235907477374,0.6797619047619048,0.9073934837092732,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,48,coverage_chao,0.8338242503973764,0.6350961538461538,0.888095238095238,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,48,coverage_turing,0.8084452381243665,0.6,0.864367816091954,0.9888295259150086
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,48,coverage_zhanghuang,0.8353165819160714,0.6377922077922078,0.888095238095238,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,49,coverage_chao,0.8335469614274451,0.6097368421052631,0.9040204678362573,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,49,coverage_turing,0.8073951212347458,0.5269230769230769,0.88,0.9837643678160919
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,49,coverage_zhanghuang,0.8351789909244822,0.6125,0.9062533976349394,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,50,coverage_chao,0.8364695201503557,0.6238157894736842,0.9058206405217081,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,50,coverage_turing,0.8112594731945454,0.5269230769230769,0.8819444444444444,0.9832442888725129
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,50,coverage_zhanghuang,0.8388988611050122,0.625,0.9103174603174603,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,1,coverage_chao,0.838445593498263,0.6350961538461538,0.8994787489975942,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,1,coverage_turing,0.8110685033419155,0.6,0.8804761904761904,0.9890877809502892
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,1,coverage_zhanghuang,0.8394402506702792,0.6377922077922078,0.9021103279449627,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,2,coverage_chao,0.8472636071285794,0.6758160425101214,0.9138528138528139,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,2,coverage_turing,0.8192123324837615,0.6,0.8982758620689655,0.9828462887200466
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,2,coverage_zhanghuang,0.8487210980319989,0.6828673245614034,0.9210915959199713,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,3,coverage_chao,0.8392915023067715,0.625,0.9073934837092732,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,3,coverage_turing,0.8138711949967875,0.5700000000000001,0.8973684210526316,0.9783653846153846
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,3,coverage_zhanghuang,0.8408450343654685,0.6263888888888889,0.9138528138528139,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,4,coverage_chao,0.8445884535688464,0.6880636604774535,0.9026315789473685,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,4,coverage_turing,0.8181591839701625,0.6,0.8918128654970761,0.9888295259150086
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,4,coverage_zhanghuang,0.8460109479979994,0.6951149425287355,0.9073934837092732,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,5,coverage_chao,0.8428029391779678,0.6800925925925927,0.9138528138528139,1
