scenario_family,scenario,baseline_scenario,unit_type,iter,inference,stability,inference_label
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,3,sorensen_pa_cor,0.9893450046146797,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,3,procrustes_r2,0.9980622377556994,ordination Procrustes R2
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,4,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,4,q0_cor,0.9796900707211215,q0 richness / number of units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,4,q1_cor,0.9639738787741818,Hill q1 / effective units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,4,q2_cor,0.9597507112595969,Hill q2 / dominant units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,4,coverage_chao_cor,0.9942939047264153,sample coverage Chao
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,4,bray_curtis_cor,0.9971900222163637,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,4,jaccard_pa_cor,0.9858764135619664,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,4,sorensen_pa_cor,0.9875480189553933,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,4,procrustes_r2,0.9964908329616977,ordination Procrustes R2
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,5,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,5,q0_cor,0.9685766271374388,q0 richness / number of units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,5,q1_cor,0.9532161683325407,Hill q1 / effective units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,5,q2_cor,0.9558502766364837,Hill q2 / dominant units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,5,coverage_chao_cor,0.9929023967220004,sample coverage Chao
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,5,bray_curtis_cor,0.9957487202964607,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,5,jaccard_pa_cor,0.9885069041505211,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,5,sorensen_pa_cor,0.9908802892988221,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,5,procrustes_r2,0.9974581896792938,ordination Procrustes R2
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,6,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,6,q0_cor,0.9759943786775117,q0 richness / number of units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,6,q1_cor,0.9686163956632722,Hill q1 / effective units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,6,q2_cor,0.967138460130299,Hill q2 / dominant units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,6,coverage_chao_cor,0.9958499533096645,sample coverage Chao
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,6,bray_curtis_cor,0.9957471722587159,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,6,jaccard_pa_cor,0.9851945624408605,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,6,sorensen_pa_cor,0.9886384910254495,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,6,procrustes_r2,0.9966067748619654,ordination Procrustes R2
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,7,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,7,q0_cor,0.979680161453491,q0 richness / number of units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,7,q1_cor,0.964638939131492,Hill q1 / effective units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,7,q2_cor,0.9643852285804738,Hill q2 / dominant units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,7,coverage_chao_cor,0.9940580295735354,sample coverage Chao
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,7,bray_curtis_cor,0.9964825826358917,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,7,jaccard_pa_cor,0.9883242199801096,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,7,sorensen_pa_cor,0.9899406362259174,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,7,procrustes_r2,0.9960727316003122,ordination Procrustes R2
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,8,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,8,q0_cor,0.9700793406376069,q0 richness / number of units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,8,q1_cor,0.9609272514226723,Hill q1 / effective units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,8,q2_cor,0.9598100042942495,Hill q2 / dominant units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,8,coverage_chao_cor,0.9932630935221719,sample coverage Chao
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,8,bray_curtis_cor,0.9955995831039389,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,8,jaccard_pa_cor,0.9872821796877537,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,8,sorensen_pa_cor,0.989832092410315,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,8,procrustes_r2,0.9940545576422648,ordination Procrustes R2
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,9,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,9,q0_cor,0.9857695665536382,q0 richness / number of units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,9,q1_cor,0.9755158568815396,Hill q1 / effective units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,9,q2_cor,0.9745742738369617,Hill q2 / dominant units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,9,coverage_chao_cor,0.9970342502658169,sample coverage Chao
