scenario_family,scenario,baseline_scenario,iter,term,df,sumsq,r2,f,p,n_units,n_taxa,model
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,9,mos,1,0.5520627772163849,0.021045244228535976,1.3827935265196187,0.1,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,9,p_h,1,0.46688633383430655,0.01779822391223724,1.1694456259156671,0.27,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,10,t360_mean,1,0.34443129674166073,0.013076070962362605,0.8597247172413021,0.67,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,10,mos,1,0.5608447160954526,0.02129204104245735,1.3999078176774757,0.12,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,10,p_h,1,0.46897756266373136,0.017804374768377613,1.1706009479039985,0.2,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,1,t360_mean,1,0.3711863664035526,0.01406971272342013,0.9260281964088025,0.62,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,1,mos,1,0.5823744220501013,0.02207473538186054,1.45289586174982,0.09,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,1,p_h,1,0.4440021828112215,0.016829775353154143,1.1076876139982916,0.37,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,2,t360_mean,1,0.36601496748220086,0.013860779743942118,0.9126879651318754,0.56,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,2,mos,1,0.5636791294970429,0.021346209730058328,1.4055795620242801,0.08,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,2,p_h,1,0.4780290482530134,0.018102689610264396,1.1920041476041183,0.21,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,3,t360_mean,1,0.352098340246755,0.01335611667462145,0.8786993430232765,0.65,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,3,mos,1,0.5652766118848476,0.021442590091386583,1.4107086876397648,0.12,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,3,p_h,1,0.4639993246792429,0.0176008472889092,1.1579603058428567,0.26,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,4,t360_mean,1,0.3531212872233631,0.013379575467469273,0.8818119997176413,0.68,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,4,mos,1,0.5787513685237222,0.02192857777833775,1.4452538549294782,0.07,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,4,p_h,1,0.49838347235750646,0.018883481459243692,1.2445597087660305,0.18,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,5,t360_mean,1,0.366563853234009,0.013850134095258022,0.9132296261965981,0.59,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,5,mos,1,0.5662752283498875,0.021395966291477057,1.4107755321423545,0.07,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,5,p_h,1,0.5124575786341588,0.01936253703030376,1.2766982855751674,0.16,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,6,t360_mean,1,0.3586558953036594,0.013540577835905242,0.8926326097340876,0.51,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,6,mos,1,0.5917352551516828,0.02234018005990618,1.4727269006146002,0.08,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,6,p_h,1,0.48710714446325554,0.018390084452524973,1.2123255947437335,0.17,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,7,t360_mean,1,0.3535846211009286,0.013382852456556727,0.8813359838678929,0.65,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,7,mos,1,0.5772125880507808,0.02184696517031456,1.43874533515262,0.1,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,7,p_h,1,0.4789760367217255,0.018128802122995714,1.1938834196433814,0.25,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,8,t360_mean,1,0.34918579500797975,0.013228533724188505,0.8705104438622556,0.7,66,50,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,8,mos,1,0.5636662677044022,0.021353899093589278,1.4052042777923626,0.05,66,50,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,8,p_h,1,0.4803874823602108,0.018198970582222095,1.197592589600336,0.19,66,50,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,9,t360_mean,1,0.3440622308579435,0.013024901221816553,0.8587567032483783,0.69,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,9,mos,1,0.604171706243104,0.022871667067931863,1.50797284943343,0.11,66,51,multivariate_margin
