varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,n_replicates,alpha_q0_spearman_med,bray_spearman_med,jaccard_spearman_med,sorensen_spearman_med
mean_genera_per_family,Mean genera per family,4,4,id_regional_difficult_bias_5pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.05,    5%,5,0.8560930589658384,0.9944843996221215,0.8727666033320745,0.8727666033320745
mean_genera_per_family,Mean genera per family,4,4,id_regional_uniform_10pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.1,   10%,5,0.8094046932621873,0.9882997557907353,0.7866314623859452,0.7866314623859452
mean_genera_per_family,Mean genera per family,4,4,id_regional_uniform_1pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.01,    1%,5,0.9380758374072493,0.9989843515426908,0.9735457628925479,0.9735457628925479
mean_genera_per_family,Mean genera per family,4,4,id_regional_uniform_20pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.2,   20%,5,0.7988921984706964,0.9685449085576447,0.7146216686970244,0.7146216686970244
mean_genera_per_family,Mean genera per family,4,4,id_regional_uniform_3pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.03,    3%,5,0.9086463606258702,0.9969005704687945,0.9208874686322172,0.9208874686322172
mean_genera_per_family,Mean genera per family,4,4,id_regional_uniform_5pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.05,    5%,5,0.8389327141789746,0.9943495991739928,0.8754929104977474,0.8754929104977474
mean_genera_per_family,Mean genera per family,4,4,workflow_difficult_genera_to_genus,Difficult genera reported at genus,fixed_workflow,difficult_to_genus,fixed_workflow,NA,fixed,5,0.9765189640975221,0.9435498319953932,0.9299885604439768,0.9299885604439768
mean_genera_per_family,Mean genera per family,4,4,workflow_drop_unresolved_10pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.1,   10%,5,0.9092659295605271,0.986442336192728,0.8728071197207029,0.8728071197207029
mean_genera_per_family,Mean genera per family,4,4,workflow_drop_unresolved_1pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.01,    1%,5,0.9569935872321869,0.9986069037502147,0.9785292080796641,0.9785292080796641
mean_genera_per_family,Mean genera per family,4,4,workflow_drop_unresolved_20pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.2,   20%,5,0.9350431389452618,0.9685371295358963,0.8632780968188919,0.8632780968188919
mean_genera_per_family,Mean genera per family,4,4,workflow_drop_unresolved_3pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.03,    3%,5,0.9191539340840227,0.9961670782387997,0.9372317424528974,0.9372317424528974
mean_genera_per_family,Mean genera per family,4,4,workflow_drop_unresolved_5pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.05,    5%,5,0.9055176757442581,0.9929744242960715,0.8972010019874548,0.8972010019874548
mean_genera_per_family,Mean genera per family,4,4,workflow_family_level,Family-level aggregation,fixed_workflow,family_level,fixed_workflow,NA,fixed,5,0.4550520802469301,0.27885573316377477,0.3234665853809672,0.3234665853809672
mean_genera_per_family,Mean genera per family,4,4,workflow_genus_level,Genus-level aggregation,fixed_workflow,genus_level,fixed_workflow,NA,fixed,5,0.9288830540016623,0.8164831336620582,0.7469337348826914,0.7469337348826914
mean_genera_per_family,Mean genera per family,4,4,workflow_mixed_rtu_10pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.1,   10%,5,0.9348263841695877,0.9931463192685869,0.8817583061255378,0.8817583061255378
mean_genera_per_family,Mean genera per family,4,4,workflow_mixed_rtu_1pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.01,    1%,5,0.9466091763508792,0.9994053613125722,0.9822470884710413,0.9822470884710413
mean_genera_per_family,Mean genera per family,4,4,workflow_mixed_rtu_20pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.2,   20%,5,0.9380987523631069,0.9832004514703047,0.872832885378604,0.872832885378604
mean_genera_per_family,Mean genera per family,4,4,workflow_mixed_rtu_3pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.03,    3%,5,0.9045035457318183,0.9982259041294531,0.9385021020866945,0.9385021020866945
mean_genera_per_family,Mean genera per family,4,4,workflow_mixed_rtu_5pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.05,    5%,5,0.9149590119009652,0.996492759650947,0.9110060379739838,0.9110060379739838
mean_genera_per_family,Mean genera per family,4,4,workflow_rare_species_to_genus,Rare taxa reported at genus,fixed_workflow,rare_to_genus,fixed_workflow,NA,fixed,5,1,0.9999999999999999,0.9999999999999999,0.9999999999999999
mean_genera_per_family,Mean genera per family,8,8,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,5,0.8757183910857579,0.9779702644837545,0.733973052169841,0.733973052169841
mean_genera_per_family,Mean genera per family,8,8,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,5,0.973588087606748,0.9985575240267096,0.95916137124218,0.95916137124218
mean_genera_per_family,Mean genera per family,8,8,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,5,0.8500805333869942,0.9386934733277404,0.6662003812985215,0.6662003812985215
mean_genera_per_family,Mean genera per family,8,8,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,5,0.9363271112418852,0.9951925717870913,0.8745018316958799,0.8745018316958799
mean_genera_per_family,Mean genera per family,8,8,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,5,0.913657624797299,0.991850514271112,0.8221025737169065,0.8221025737169065
mean_genera_per_family,Mean genera per family,8,8,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,5,0.9083108766670639,0.9758457258076837,0.7465304021856903,0.7465304021856903
mean_genera_per_family,Mean genera per family,8,8,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,5,0.9767935916333051,0.9986398728022957,0.9501578744947171,0.9501578744947171
mean_genera_per_family,Mean genera per family,8,8,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,5,0.8580073763455578,0.9365283356808044,0.7097191946649493,0.7097191946649493
mean_genera_per_family,Mean genera per family,8,8,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,5,0.9237051792648874,0.995104024156342,0.8788720218273731,0.8788720218273731
mean_genera_per_family,Mean genera per family,8,8,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,5,0.9155235874006366,0.9915555064507517,0.8318456483317908,0.8318456483317908
